feature,importance
mode_Sea,0.62039405
Scheduled_Lead_Time_Days,0.22324528
mode_Air,0.06523885
route_risk_score,0.01544564
route_Suez,0.015373394
Geopolitical_Risk_Index,0.015286865
geo_weather_interaction,0.0128925955
Weather_Severity_Index,0.012143236
route_Pacific,0.010203006
route_Atlantic,0.0048935167
product_criticality,0.004883562
